	Chemical Name	CAS Number	U.S. EPA PC Code	CA Chem Code	Use Type	Chemical Class	U.S. EPA Registered	WHO 1a	WHO 1b	Rotterdam Annex III	Stockholm Annex A	Stockholm Annex B
122	Phenylmercuric oleate	104-60-9	066022, 066022	853	Microbiocide, Fungicide, Herbicide	Organomercury, Heavy metal	False	False	False	True	False	False
123	PMAA	53404-67-4	066004, 066004	492	Fungicide, Microbiocide	Organomercury, Heavy metal	False	False	False	True	False	False
124	Poly (methylmethacrylate-co-tributyltin methacrylate)	26354-18-7	083119, 083119	5075	Antifoulant, Microbiocide	Organotin, Heavy metal, Polymer	False	False	False	True	False	False
125	Thiram	137-26-8	079801, 079801	589	Fungicide	Dithiocarbamate	True	False	False	True	False	False
126	Toxaphene	8001-35-2	080501, 080501	594	Insecticide	Organochlorine	False	False	False	True	True	False
127	Tributyltin acetate	56-36-0	083105, 083105	2097	Antifoulant, Microbiocide	Organotin, Heavy metal	False	False	False	True	False	False
128	Tributyltin benzoate	4342-36-3	083106, 083106	1114	Antifoulant, Microbiocide	Organotin, Heavy metal	False	False	False	True	False	False
129	Tributyltin chloride	1461-22-9	083107, 083107	1891	Antifoulant, Microbiocide	Organotin, Heavy metal	False	False	False	True	False	False
130	Tributyltin chloride complex of ethylene oxide condensate of abietylamine	56573-85-4	083108, 083108	1412, 1864	Antifoulant, Microbiocide	Organotin, Heavy metal	False	False	False	True	False	False
131	Tributyltin fluoride	1983-10-4	083112, 083112	1030	Antifoulant, Microbiocide, Fungicide	Organotin, Heavy metal	False	False	False	True	False	False
132	Tributyltin isopropyl succinate	53404-82-3	083115, 083115	1115	Antifoulant, Microbiocide	Organotin, Heavy metal	False	False	False	True	False	False
133	Tributyltin linoleate	24124-25-2	083109, 083109	1116	Antifoulant, Microbiocide	Organotin, Heavy metal	False	False	False	True	False	False
134	Tributyltin maleate	14275-57-1, 4027-18-3	083118, 083118	2185	Antifoulant, Microbiocide	Organotin, Heavy metal	False	False	False	True	False	False
135	Tributyltin methacrylate	2155-70-6	083120, 083120	2179	Antifoulant, Microbiocide	Organotin, Heavy metal	False	False	False	True	False	False
136	Tributyltin monopropylene glycol maleate	53466-85-6	083110, 083110	1985	Antifoulant, Microbiocide	Organotin, Heavy metal	False	False	False	True	False	False
137	Tributyltin neodecanoate	28801-69-6	083111, 083111	1035	Antifoulant, Microbiocide	Organotin, Heavy metal	False	False	False	True	False	False
