,Unnamed: 0,Chemical Name,CAS Number,U.S. EPA PC Code,CA Chem Code,Use Type,Chemical Class,U.S. EPA Registered,WHO 1a,WHO 1b,Rotterdam Annex III,Stockholm Annex A,Stockholm Annex B
151,139,Tributyltin resinate,13387-91-2,"083114, 083114",1732,"Antifoulant, Microbiocide","Organotin, Heavy metal",False,False,False,True,False,False
152,139,Tributyltin resinate,26239-64-5,"083114, 083114",1732,"Antifoulant, Microbiocide","Organotin, Heavy metal",False,False,False,True,False,False
153,140,Tributyltin sulfide,4808-30-4,"083113, 083113","1352, 1886","Antifoulant, Microbiocide","Organotin, Heavy metal",False,False,False,True,False,False
154,143,Chlordecone,143-50-0,,,,,False,False,False,False,True,False
155,144,Decabromodiphenyl ether,1163-19-5,,,,,False,False,False,False,True,False
156,146,Dicofol,Not Listed,,,,,False,False,False,False,True,False
157,147,Endosulfan,Not Listed,,,,,False,False,False,False,True,False
158,148,Endrin,Not Listed,,,,,False,False,False,False,True,False
159,149,Hexabromobiphenyl,36355-01-8,,,,,False,False,False,False,True,False
160,150,Hexabromocyclododecane,25637-99-4,,,,,False,False,False,False,True,False
161,152,Hexachlorobutadiene,87-68-3,,,,,False,False,False,False,True,False
162,153,Mirex,2385-85-5,,,,,False,False,False,False,True,False
163,157,"Perfluorooctane sulfonic acid (PFOS), its salts and perfluorooctane sulfonyl fluoride",1763-23-1,,,,,False,False,False,False,False,True
164,159,Polychlorinated naphthalenes,1336-36-3,,,,,False,False,False,False,True,False
